Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
Fort Smith,Arkansas,245235,1255,$48785,23%,36,$172532,1561,$110,39,56%,$750,50%,810,4669,19%,5%,60%,25%,67%,4%,5%,67%,15%,9%,Central Standard Time,93,51,41,72,29,56%,55%,48,67,105,61%,72%,53%,51,13.0,9.43,27%,26%,24%,4,1,7,54,44,4,35.36434947845432,-94.33757323069793
Appleton,Wisconsin,241748,1728,$70897,31%,37,$252888,1606,$157,44,72%,$859,47%,229,1460,8%,3%,70%,39%,53%,4%,2%,84%,5%,4%,Central Standard Time,82,26,55,60,10,63%,59%,35,57,84,55%,67%,48%,36,12.39,5.06,34%,36%,32%,56,33,8,31,71,3,44.28037724358014,-88.36959301549383
Prescott,Arizona,240226,811,$56540,26%,53,$525163,1791,$291,26,70%,$998,46%,336,1572,12%,5%,48%,31%,62%,1%,0%,78%,15%,6%,Mountain Standard Time,94,54,39,63,26,37%,33%,27,39,97,76%,79%,73%,15,5.61,4.38,15%,22%,16%,7,1,6,52,81,6,34.624047335129056,-112.26550801689079
Topeka,Kansas,233423,6011,$51448,28%,38,$150815,1495,$101,52,62%,$848,54%,684,4741,14%,4%,62%,41%,49%,1%,9%,70%,14%,4%,Central Standard Time,89,40,48,68,18,58%,58%,43,65,96,59%,68%,54%,38,13.83,3.89,26%,30%,19%,17,9,8,55,65,4,39.0342240520653,-95.69097419769761
Macon,Georgia,233026,635,$51552,21%,38,$149653,1496,$98,37,61%,$702,56%,N/A,N/A,21%,3%,55%,57%,40%,0%,44%,50%,3%,1%,Eastern Standard Time,93,58,34,70,35,52%,54%,53,69,105,63%,67%,56%,51,14.67,15.31,29%,34%,33%,0,0,5,53,42,5,32.838850302464145,-83.65581220307045
Tyler,Texas,231429,1721,$61941,30%,35,$292267,1631,$179,40,59%,$1047,50%,357,2838,13%,4%,63%,26%,69%,2%,21%,54%,19%,9%,Central Standard Time,95,58,36,74,37,57%,55%,54,70,107,58%,69%,50%,48,10.59,12.35,26%,23%,29%,0,0,7,55,51,5,32.322314228575024,-95.30655749970946
Barnstable Town,Massachusetts,227942,880,$81114,43%,53,$771140,1720,$451,46,78%,$1449,47%,342,963,7%,4%,60%,53%,39%,1%,3%,86%,3%,10%,Eastern Standard Time,79,39,40,65,24,56%,56%,39,59,80,57%,63%,54%,50,10.64,13.91,36%,32%,41%,25,10,7,18,87,3,41.69057812749465,-70.29953195846153
Daphne-Fairhope-Foley,Alabama,227131,891,$67811,36%,43,$411630,1886,$221,24,73%,$1087,45%,N/A,N/A,9%,4%,58%,19%,76%,1%,9%,81%,4%,4%,Central Standard Time,89,61,28,71,39,58%,60%,56,71,100,60%,60%,52%,68,22.54,15.67,29%,41%,31%,0,0,7,72,66,5,30.519970107508545,-87.77830443373995
Bellingham,Washington,224533,2543,$65423,39%,36,$593147,1668,$359,32,58%,$1244,53%,238,2676,15%,5%,63%,53%,35%,4%,1%,77%,10%,10%,Pacific Standard Time,75,45,30,53,33,63%,50%,42,51,75,45%,60%,27%,42,3.47,15.02,47%,24%,63%,34,14,7,6,63,2,48.812640094495315,-122.49220090296626
Burlington-South Burlington,Vermont,224524,1958,$69336,52%,34,$496532,1847,$268,50,54%,$1378,60%,208,2168,15%,4%,67%,60%,26%,5%,3%,84%,3%,9%,Eastern Standard Time,82,29,53,61,13,58%,54%,35,57,83,49%,60%,42%,40,12.43,7.25,42%,42%,46%,73,42,8,23,77,2,44.577948392919495,-73.144753264082
Rochester,Minnesota,224330,1818,$79015,44%,36,$309006,1938,$159,35,74%,$1046,46%,199,1776,8%,3%,71%,42%,47%,5%,7%,77%,5%,11%,Central Standard Time,81,23,58,60,7,63%,59%,35,58,83,52%,64%,45%,37,14.64,3.71,32%,36%,26%,53,31,8,40,68,3,44.01486606053148,-92.45186146777408
Lafayette-West Lafayette,Indiana,223366,2740,$43364,41%,30,$209974,1631,$130,43,51%,$897,63%,322,2300,22%,4%,61%,40%,50%,8%,6%,73%,9%,11%,Eastern Standard Time,83,33,49,63,17,60%,56%,41,62,86,51%,64%,40%,42,13.48,8.12,34%,36%,32%,21,10,8,40,69,3,40.43827444288048,-86.88553173282466
Champaign-Urbana,Illinois,223247,3187,$58831,48%,29,$185027,1482,$124,38,53%,$954,60%,822,2212,20%,4%,61%,51%,39%,12%,14%,63%,5%,13%,Central Standard Time,84,33,50,64,17,60%,57%,40,61,88,53%,64%,45%,41,12.78,7.79,33%,33%,31%,21,14,6,47,68,3,40.137644972173966,-88.28361352094763
Medford,Oregon,221662,3454,$60232,29%,40,$430885,1652,$260,35,61%,$1143,50%,164,2558,14%,5%,59%,40%,49%,1%,0%,77%,15%,6%,Pacific Standard Time,92,46,45,57,31,47%,28%,40,48,89,N/A%,N/A%,N/A%,18,1.19,8.5,28%,8%,43%,4,3,4,7,47,3,42.340368383307165,-122.84014186783527
Charlottesville,Virginia,220282,3118,$78086,54%,37,$492011,2002,$255,40,60%,$1406,53%,324,2319,15%,3%,63%,65%,27%,5%,14%,71%,5%,8%,Eastern Standard Time,87,45,42,67,26,52%,55%,45,65,93,59%,64%,54%,46,12.45,9.5,33%,37%,31%,16,5,6,34,51,4,38.02671156658407,-78.49143745512788
Lake Charles,Louisiana,218296,1583,$56716,24%,36,$222759,1954,$113,40,63%,$949,53%,462,3761,17%,4%,59%,31%,64%,1%,30%,61%,4%,4%,Central Standard Time,92,62,30,75,42,62%,62%,59,73,108,67%,81%,48%,64,21.32,14.61,32%,39%,36%,0,0,7,75,50,5,30.21615856786485,-93.25282317210682
Las Cruces,New Mexico,218157,1269,$33992,8%,30,$265798,1684,$160,30,68%,$749,48%,465,2926,29%,8%,51%,51%,37%,0%,1%,7%,89%,28%,Mountain Standard Time,99,59,40,72,34,27%,26%,35,51,96,83%,85%,80%,10,4.48,1.72,14%,22%,12%,3,0,N/A,35,63,6,32.0442475,-106.4061055
Chico,California,217884,2201,$58252,30%,35,$415868,1527,$270,42,54%,$1146,58%,546,2668,19%,7%,58%,42%,46%,5%,2%,69%,17%,7%,Pacific Standard Time,93,54,38,66,39,39%,22%,45,51,90,77%,95%,51%,29,0.61,15.23,22%,2%,38%,57,11,6,4,45,4,39.678209075066114,-121.7244968995855
Claremont-Lebanon,New Hampshire,217783,402,$70495,41%,37,$416235,1847,$223,54,61%,$1206,60%,105,1208,13%,2%,59%,52%,40%,3%,1%,87%,3%,6%,N/A,81,30,51,57,10,53%,51%,35,57,82,54%,61%,52%,45,13.66,9.61,41%,45%,38%,74,32,6,18,84,3,43.698071388835835,-72.04960056088014
Hilton Head Island-Bluffton-Beaufort,South Carolina,214370,710,$74348,40%,43,$501958,1746,$295,24,66%,$1383,44%,344,1880,9%,2%,58%,42%,53%,1%,16%,66%,12%,7%,Eastern Standard Time,92,61,31,74,39,54%,57%,55,70,103,59%,59%,55%,48,17.34,10.27,28%,37%,28%,0,0,6,60,69,5,32.291726963105695,-80.80546485967182
Athens-Clarke County,Georgia,213886,1015,$59490,33%,38,N/A,N/A,N/A,34,72%,$934,53%,N/A,N/A,14%,3%,61%,61%,31%,2%,14%,70%,4%,5%,Eastern Standard Time,92,54,37,69,33,54%,56%,48,66,105,60%,63%,53%,48,12.83,14.37,30%,34%,35%,4,0,8,48,49,5,33.950286766293864,-83.35931599629762
Lake Havasu City-Kingman,Arizona,211274,907,$49980,13%,48,$340678,1508,$223,25,70%,$910,47%,251,2698,16%,7%,45%,21%,72%,1%,0%,75%,15%,5%,Mountain Standard Time,104,60,44,75,35,20%,15%,32,42,102,84%,89%,77%,7,1.79,2.71,7%,7%,10%,0,0,6,16,72,6,35.066634572921245,-114.0796532653855
Columbia,Missouri,209714,1800,$58381,51%,29,$292138,1916,$152,28,54%,$919,58%,311,2553,18%,3%,66%,49%,43%,5%,10%,75%,3%,7%,Central Standard Time,88,40,48,69,22,60%,59%,43,64,95,57%,68%,48%,45,13.97,6.79,31%,30%,26%,18,7,N/A,52,56,4,38.95481084496597,-92.31683699666414
Springfield,Illinois,209102,1662,$81964,34%,36,$199130,1848,$106,40,83%,$923,46%,54,544,7%,3%,69%,41%,51%,0%,1%,92%,2%,1%,Central Standard Time,86,36,49,66,19,60%,57%,40,62,90,54%,65%,46%,41,12.26,7.1,32%,31%,31%,25,14,N/A,47,71,3,39.71674198331348,-89.64819572252296
Houma-Thibodaux,Louisiana,207777,1477,$56693,16%,37,$190993,1584,$121,41,72%,$846,49%,611,4225,17%,6%,58%,22%,74%,0%,16%,70%,5%,2%,Central Standard Time,91,63,28,75,42,62%,64%,59,73,107,58%,62%,51%,65,22.45,14.36,28%,40%,30%,0,0,8,67,58,5,29.639766601882293,-90.65833571993102
Monroe,Louisiana,207351,1486,$38876,23%,35,$171639,1581,$108,42,49%,$778,63%,1505,6548,30%,7%,53%,35%,62%,1%,46%,48%,2%,1%,Central Standard Time,93,56,36,72,36,57%,56%,54,70,105,58%,68%,50%,57,12.39,16.07,27%,26%,31%,0,0,7,56,47,5,32.53700280711981,-92.12375113084202
Elkhart-Goshen,Indiana,206314,1498,$50151,18%,35,$172639,1447,$119,50,59%,$839,55%,893,2701,16%,5%,64%,31%,63%,0%,9%,63%,23%,11%,Eastern Standard Time,83,32,51,63,18,61%,56%,40,60,85,60%,75%,47%,40,12.05,8.13,41%,37%,45%,41,27,N/A,41,72,3,41.65131033620351,-85.92530545775331
Johnson City,Tennessee,206272,1394,$46842,33%,39,$252025,1564,$161,40,59%,$781,53%,453,3507,19%,6%,56%,23%,71%,1%,5%,85%,4%,4%,Eastern Standard Time,85,46,39,63,25,55%,59%,45,63,91,59%,59%,57%,49,14.4,12.45,39%,42%,43%,11,10,6,40,67,4,36.322174017584295,-82.36176646554007
Yuma,Arizona,202944,1014,$52155,16%,36,$270395,1372,$196,26,68%,$927,45%,292,1891,18%,8%,55%,46%,47%,1%,2%,29%,65%,25%,Mountain Standard Time,107,67,39,82,46,48%,50%,41,55,150,74%,74%,76%,3,0.66,1.16,4%,3%,6%,0,0,6,7,61,6,32.56252861938834,-114.54319248308708
Gainesville,Georgia,201703,1205,$61992,27%,33,$356606,1910,$186,25,47%,$1110,52%,N/A,N/A,16%,3%,66%,22%,72%,2%,13%,48%,32%,18%,Eastern Standard Time,87,51,36,69,33,55%,57%,49,66,93,60%,63%,53%,54,13.2,15.36,34%,37%,39%,4,1,8,49,55,5,34.269669724731806,-83.846415391963
Jacksonville,North Carolina,201597,1357,$52827,26%,26,$233914,1493,$156,28,45%,$1079,49%,193,3398,14%,8%,74%,30%,64%,2%,16%,60%,15%,4%,Eastern Standard Time,89,55,33,71,34,53%,56%,47,66,97,59%,61%,55%,56,18.66,11.05,36%,42%,34%,1,0,6,42,76,4,34.72003860013149,-77.39497964309848
Florence,South Carolina,200709,1419,$46554,27%,39,$181121,1544,$116,44,60%,$749,56%,1211,6370,20%,5%,58%,46%,50%,1%,50%,43%,1%,2%,Eastern Standard Time,92,56,35,71,34,50%,52%,51,68,100,64%,67%,57%,48,15.16,10.17,31%,35%,32%,2,0,6,50,52,5,34.178896505350885,-79.83508200710536
Hilo,Hawaii,200468,742,$70419,29%,41,$692888,1367,$474,36,66%,$1309,49%,N/A,N/A,13%,6%,59%,63%,27%,23%,0%,27%,14%,13%,N/A,84,78,5,70,64,66%,66%,N/A,N/A,90,41%,43%,43%,80,18.19,22.49,51%,56%,44%,N/A,N/A,6,N/A,80,9,19.675376755524944,-155.45026974424738
St. Cloud,Minnesota,198725,1166,$65768,27%,36,$275494,2076,$137,36,73%,$837,48%,72,1495,8%,2%,71%,30%,61%,1%,1%,89%,4%,3%,Central Standard Time,82,21,60,60,3,62%,59%,34,58,84,51%,62%,45%,30,12.87,2.71,26%,31%,21%,52,24,N/A,39,76,3,45.600376425788696,-94.38488817892333
Racine,Wisconsin,197379,2692,$66599,25%,39,$243847,1552,$154,56,66%,$946,52%,253,1261,13%,4%,63%,45%,49%,1%,14%,64%,16%,5%,Central Standard Time,80,29,50,62,14,63%,61%,37,58,82,53%,66%,44%,39,12.57,6.57,33%,33%,30%,50,31,8,34,70,3,42.72715898370862,-87.9615566518067
Bend-Redmond,Oregon,194964,2330,$73475,39%,39,$623950,1745,$356,21,64%,$1457,46%,171,2319,9%,4%,66%,43%,46%,1%,0%,83%,9%,5%,Pacific Standard Time,85,41,44,48,21,61%,42%,44,51,85,50%,67%,30%,11,1.7,4.35,21%,11%,28%,68,29,7,4,61,3,44.097394131998264,-121.29539656503738
Saginaw,Michigan,190540,1639,$53852,16%,38,$135688,1437,$91,49,70%,$800,59%,267,1486,15%,7%,53%,46%,48%,0%,27%,60%,9%,2%,Eastern Standard Time,83,30,53,61,16,61%,55%,38,58,85,50%,66%,39%,35,10.85,6.33,36%,34%,38%,56,43,8,32,73,3,43.400019586325875,-84.01953359096343
Warner Robins,Georgia,188999,1698,$56492,28%,33,$239054,1806,$133,31,57%,$943,55%,523,4500,14%,6%,64%,38%,58%,3%,42%,44%,6%,7%,Eastern Standard Time,91,58,33,71,36,52%,54%,53,69,99,63%,67%,56%,49,14.03,15.07,29%,34%,33%,0,0,5,53,46,5,32.56863652370177,-83.68052677116624
Terre Haute,Indiana,185527,1386,$42121,17%,36,$59035,1576,$36,61,60%,$751,60%,782,2572,21%,7%,55%,34%,60%,1%,6%,86%,2%,2%,Eastern Standard Time,88,39,48,65,19,59%,56%,42,63,95,51%,64%,41%,44,12.93,8.28,32%,31%,31%,14,8,6,41,68,3,39.449633085535964,-87.35295123417379
Torrington,Connecticut,185175,852,$68763,28%,45,$256638,1455,$177,60,70%,$1090,53%,73,958,10%,5%,65%,40%,54%,1%,2%,83%,9%,7%,N/A,83,34,48,61,17,54%,53%,38,59,85,58%,63%,57%,53,14.79,12.81,38%,39%,39%,55,25,7,20,78,3,41.758886613898,-73.15647687149995
Punta Gorda,Florida,184837,1685,$56843,25%,60,$335930,1448,$230,35,78%,$1087,43%,87,1358,10%,5%,40%,35%,60%,1%,5%,83%,7%,10%,Eastern Standard Time,93,76,17,73,51,55%,60%,62,72,109,69%,67%,65%,55,27.01,6.22,29%,53%,17%,0,0,7,82,68,6,26.96181895511097,-82.15366852323253
Billings,Montana,182997,2409,$63312,34%,38,$372014,2111,$177,42,69%,$952,50%,336,3924,11%,4%,66%,31%,58%,0%,0%,84%,6%,2%,Mountain Standard Time,88,35,53,59,18,45%,34%,29,45,86,58%,70%,45%,15,3.94,2.04,26%,25%,23%,59,33,7,26,72,3,45.77198490626583,-108.5713173894116
Redding,California,181935,1826,$60525,22%,39,$383253,1572,$245,39,60%,$1165,51%,578,3442,15%,6%,56%,27%,63%,3%,1%,77%,10%,5%,Pacific Standard Time,99,56,43,66,36,38%,20%,40,48,96,77%,95%,52%,37,1.03,19.0,20%,4%,35%,10,3,6,7,54,4,40.577314508482935,-122.31758431577
Kingston,New York,181862,992,$70611,38%,43,$399371,1787,$222,50,65%,$1258,55%,182,1380,12%,4%,60%,52%,41%,2%,3%,75%,11%,7%,Eastern Standard Time,83,34,48,63,18,57%,55%,38,59,85,50%,58%,45%,50,15.5,11.38,37%,40%,35%,51,20,7,22,73,3,41.833970981637414,-74.1186245262462
Panama City,Florida,181384,1454,$65564,30%,42,$344413,1552,$226,26,63%,$1292,46%,631,4094,9%,3%,64%,24%,70%,2%,7%,78%,6%,9%,Eastern Standard Time,90,63,27,74,42,57%,61%,57,71,103,60%,60%,52%,63,22.4,15.8,24%,37%,24%,0,0,6,74,67,5,30.18852344716273,-85.72940967670577
Joplin,Missouri,180693,1221,$49438,24%,35,$181772,1609,$112,40,62%,$818,50%,430,5408,19%,4%,61%,21%,73%,1%,2%,80%,9%,4%,Central Standard Time,90,46,44,70,25,58%,57%,44,64,99,58%,69%,50%,49,13.56,6.65,27%,26%,21%,8,3,7,54,59,4,37.071726665941874,-94.44390915380133
Dover,Delaware,180078,1677,$58605,26%,36,$295925,1748,$169,32,58%,$1166,55%,655,4182,16%,5%,62%,43%,50%,2%,32%,50%,9%,8%,Eastern Standard Time,88,45,43,70,28,55%,55%,43,63,93,53%,59%,48%,49,15.09,10.43,32%,33%,33%,18,8,7,29,69,3,39.12696808220059,-75.52957524049994
El Centro,California,180051,3678,$51645,15%,31,$326123,1472,$235,32,57%,$930,54%,274,2058,21%,14%,53%,67%,26%,1%,2%,8%,87%,31%,Pacific Standard Time,107,68,38,79,42,63%,67%,41,55,171,69%,66%,74%,2,0.44,1.28,3%,2%,6%,0,0,6,7,36,6,32.83944765629656,-115.5455237134408
Jackson,Tennessee,179941,1090,$44933,26%,35,$242359,1902,$127,38,54%,$900,59%,895,3408,23%,7%,57%,37%,59%,1%,40%,49%,5%,3%,Central Standard Time,89,48,41,69,27,56%,56%,50,68,97,63%,74%,52%,58,13.4,14.97,34%,30%,38%,4,1,8,53,55,4,35.64866752127499,-88.84392421780464
Yuba City,California,179484,3275,$64347,18%,33,$433391,1696,$257,35,58%,$1155,49%,431,2874,14%,7%,59%,36%,55%,13%,2%,45%,31%,18%,Pacific Standard Time,96,55,40,61,36,45%,30%,46,52,96,77%,96%,51%,19,0.26,10.17,16%,1%,30%,0,0,6,4,25,4,39.131295436019016,-121.5936859458942
Bowling Green,Kentucky,178398,1629,$43264,28%,29,$246445,1616,$153,33,43%,$822,61%,270,4351,25%,6%,66%,33%,61%,5%,11%,70%,7%,11%,Central Standard Time,89,45,43,69,27,57%,55%,45,65,97,57%,71%,46%,52,13.88,12.6,34%,34%,38%,6,2,6,42,52,4,36.9712756609744,-86.4311406901025
St. George,Utah,176533,938,$66381,30%,38,$539343,1978,$272,20,68%,$1189,37%,179,1525,9%,3%,56%,16%,68%,0%,0%,82%,11%,5%,Mountain Standard Time,101,52,49,72,28,20%,14%,29,39,97,84%,90%,77%,12,2.8,4.36,13%,10%,19%,2,0,6,13,75,6,37.112745373015265,-113.52185322485116
Muskegon,Michigan,175633,1474,$62375,25%,37,$183736,1366,$134,53,77%,$939,51%,373,2799,13%,7%,63%,47%,45%,0%,15%,74%,5%,2%,Eastern Standard Time,81,32,49,62,20,63%,58%,38,58,83,46%,63%,28%,38,9.48,8.5,40%,31%,54%,86,43,8,38,76,3,43.2587484737511,-86.20976301165683
Abilene,Texas,175241,1097,$55533,25%,32,$222240,1600,$137,46,59%,$955,51%,359,2404,14%,3%,62%,21%,73%,2%,9%,59%,26%,6%,Central Standard Time,96,58,38,72,32,49%,47%,47,62,106,69%,77%,65%,25,6.99,3.5,17%,16%,14%,3,0,N/A,43,67,5,32.45360353638796,-99.73541607127325
Iowa City,Iowa,174358,2356,$64643,53%,30,$313957,2000,$156,34,59%,$1018,55%,280,1735,17%,3%,70%,62%,30%,6%,7%,76%,6%,11%,Central Standard Time,85,31,54,65,14,59%,57%,38,61,89,53%,63%,46%,38,14.22,4.16,31%,34%,25%,28,11,8,46,69,3,41.65077630183494,-91.57410868687457
Auburn-Opelika,Alabama,172223,1087,$50934,42%,32,$339097,1965,$171,27,57%,$881,56%,N/A,N/A,23%,4%,58%,39%,55%,5%,29%,58%,4%,6%,Central Standard Time,90,57,32,71,35,53%,54%,53,69,97,58%,62%,50%,55,13.58,17.22,31%,36%,36%,1,0,5,53,40,3,32.57755180699266,-85.33551762917098
Midland,Texas,172177,1725,$87240,30%,30,$305000,2033,$150,36,69%,$1259,42%,N/A,N/A,10%,3%,71%,20%,75%,2%,7%,41%,46%,15%,Central Standard Time,96,58,37,71,31,48%,45%,42,58,105,72%,80%,66%,16,5.44,2.05,14%,16%,12%,4,0,N/A,37,58,5,32.02656442912763,-102.10803236592221
Bloomington,Illinois,171455,2497,$67356,45%,34,$229599,2036,$112,40,66%,$872,52%,428,1448,15%,3%,64%,43%,47%,6%,8%,76%,5%,8%,Central Standard Time,85,33,51,63,16,61%,58%,40,62,89,54%,65%,46%,40,12.38,7.13,29%,29%,26%,23,11,N/A,47,69,3,40.468574227129324,-88.95670061927005
Hattiesburg,Mississippi,171455,953,$41091,31%,32,N/A,N/A,N/A,39,48%,$864,62%,190,3729,28%,8%,61%,37%,59%,1%,45%,46%,3%,3%,Central Standard Time,92,60,32,72,37,55%,56%,53,69,102,58%,65%,50%,62,17.31,17.63,31%,39%,35%,1,0,5,60,48,5,31.308320881124043,-89.31139789624673
Oshkosh-Neenah,Wisconsin,171304,2040,$75407,25%,48,$219504,1545,$142,36,87%,$896,41%,232,1367,3%,0%,64%,42%,49%,0%,0%,96%,1%,0%,Central Standard Time,82,26,55,63,10,62%,58%,35,57,84,54%,66%,47%,36,12.32,5.08,34%,35%,32%,42,24,8,31,70,3,44.07625405059354,-88.51967040882862
Eau Claire,Wisconsin,171083,1181,$60399,30%,35,$271761,1680,$161,46,61%,$859,56%,256,1964,13%,3%,66%,45%,47%,3%,1%,87%,3%,3%,Central Standard Time,82,23,59,61,7,60%,57%,36,59,84,50%,60%,45%,33,12.5,3.93,33%,38%,27%,53,24,8,38,71,3,44.87005440226796,-91.40414600604771
Greenville,North Carolina,170600,2235,$47831,36%,29,$255855,1753,$145,28,42%,$847,63%,430,2834,23%,7%,63%,51%,44%,2%,39%,50%,4%,3%,Eastern Standard Time,90,53,37,70,32,53%,56%,47,66,99,59%,61%,55%,52,16.06,10.51,34%,38%,35%,4,1,6,42,65,4,35.586835947097796,-77.38895730169605
Burlington,North Carolina,169185,1848,$55800,30%,36,$275059,1641,$168,35,62%,$926,53%,583,3764,16%,5%,61%,43%,53%,2%,23%,56%,14%,9%,Eastern Standard Time,90,51,38,69,30,53%,56%,46,65,98,59%,61%,55%,43,12.08,9.36,34%,36%,33%,9,1,6,41,49,4,36.08011865644357,-79.43036501172328
Waterloo-Cedar Falls,Iowa,168595,1141,$60123,31%,35,$182096,1533,$119,52,68%,$842,52%,444,2460,14%,5%,67%,47%,45%,2%,8%,81%,4%,6%,Central Standard Time,85,27,57,63,10,62%,58%,37,60,90,58%,71%,49%,40,14.98,4.6,31%,31%,28%,41,21,8,41,74,3,42.51621484667427,-92.39345087744054
Coeur d'Alene,Idaho,168317,2539,$62677,24%,37,$501974,1726,$290,25,66%,$1098,46%,213,1406,10%,3%,63%,24%,67%,0%,0%,87%,5%,2%,Pacific Standard Time,83,35,47,57,25,52%,30%,34,43,81,52%,73%,28%,28,3.74,9.92,35%,16%,47%,50,33,8,10,57,3,47.72877543989282,-116.84956777627089
East Stroudsburg,Pennsylvania,168128,1524,$67919,24%,41,$219255,1844,$114,43,71%,$1239,53%,N/A,N/A,9%,6%,63%,48%,48%,3%,16%,57%,18%,10%,Eastern Standard Time,83,35,47,61,18,56%,54%,40,60,84,50%,62%,42%,53,16.02,11.17,40%,43%,41%,40,23,7,29,74,3,41.03648768831856,-75.3140908051979
Pueblo,Colorado,167453,1662,$53629,23%,38,$309174,1863,$167,46,64%,$920,54%,N/A,4272,17%,6%,56%,45%,46%,0%,2%,48%,45%,3%,Mountain Standard Time,92,46,45,62,15,36%,32%,31,49,91,78%,82%,74%,13,5.94,1.38,21%,29%,16%,29,18,8,35,71,5,38.27391560433871,-104.65296221597673
Blacksburg-Christiansburg-Radford,Virginia,166156,1703,$51241,45%,31,$362274,2002,$175,40,49%,$1022,64%,160,1323,29%,4%,53%,42%,49%,5%,6%,81%,3%,7%,Eastern Standard Time,82,41,41,61,22,51%,54%,42,61,84,59%,64%,54%,44,12.11,9.28,37%,40%,37%,19,8,6,34,72,4,37.17713988023008,-80.49575714398921
Wausau,Wisconsin,165975,980,$78977,30%,42,$230292,1796,$127,38,80%,$818,38%,256,1209,5%,2%,69%,38%,56%,3%,0%,91%,2%,2%,Central Standard Time,80,22,58,59,7,62%,58%,35,57,82,55%,67%,48%,35,12.91,4.3,35%,38%,32%,61,37,8,33,77,3,44.885085804226996,-89.73745917682369
Kahului-Wailuku-Lahaina,Hawaii,164568,1850,$89026,29%,41,$1010781,1136,$935,35,64%,$1713,49%,N/A,N/A,8%,5%,67%,64%,25%,31%,0%,28%,11%,19%,Hawaiian Standard Time,85,77,8,67,60,58%,56%,N/A,N/A,90,68%,73%,65%,25,2.62,9.8,29%,25%,32%,N/A,N/A,6,N/A,78,9,20.85418891521548,-156.4864408146805
Janesville-Beloit,Wisconsin,163522,1493,$71821,24%,37,$212019,1485,$141,49,75%,$905,46%,159,1950,5%,2%,70%,51%,41%,0%,0%,94%,2%,0%,Central Standard Time,82,27,54,61,11,60%,57%,37,58,84,52%,64%,45%,40,14.59,5.71,32%,34%,30%,40,26,8,40,67,3,42.6674515861724,-89.0830801090335
Tupelo,Mississippi,163409,540,$56823,28%,36,N/A,N/A,N/A,36,65%,$788,51%,N/A,3461,14%,5%,61%,27%,71%,0%,33%,58%,4%,2%,N/A,90,52,38,70,30,57%,56%,49,67,98,62%,73%,51%,56,12.7,16.11,28%,27%,33%,1,0,6,53,54,5,34.28171554648925,-88.72217341772911
Bloomington,Indiana,161469,4701,$44026,57%,25,$310554,1773,$174,37,40%,$970,71%,231,1745,30%,7%,58%,55%,38%,9%,4%,78%,4%,10%,Eastern Standard Time,85,37,47,64,20,60%,57%,42,63,89,51%,64%,41%,50,13.62,10.95,34%,32%,36%,15,10,7,41,64,3,39.16934562532709,-86.55747145419319
Odessa,Texas,161258,1814,$65107,17%,31,$253058,1834,$138,40,68%,$1110,47%,1038,2935,13%,5%,68%,28%,68%,1%,5%,30%,61%,15%,Central Standard Time,95,58,37,70,32,47%,45%,42,58,104,72%,80%,66%,14,5.26,1.76,11%,12%,9%,4,0,N/A,37,58,5,31.872495864818312,-102.37947659547869
Jackson,Michigan,160765,1050,$47234,19%,35,$138743,1229,$118,58,69%,$830,60%,607,3127,18%,7%,61%,36%,56%,0%,11%,77%,5%,1%,Eastern Standard Time,83,31,51,60,17,62%,56%,38,58,85,50%,66%,39%,36,11.51,6.77,37%,32%,38%,42,31,8,33,72,3,42.2406423820778,-84.39375457116212
State College,Pennsylvania,158879,4328,$60235,57%,33,$405096,2065,$196,46,51%,$1043,62%,100,732,23%,4%,57%,48%,45%,6%,2%,85%,3%,9%,Eastern Standard Time,82,33,48,62,19,56%,55%,40,61,83,45%,56%,34%,43,12.51,9.0,41%,41%,43%,35,25,6,33,71,3,40.838826921432585,-77.83646758447031
Sebastian-Vero Beach,Florida,158002,1721,$63141,31%,52,$407003,1648,$235,32,77%,$1100,46%,143,1292,11%,5%,50%,36%,60%,1%,8%,74%,12%,9%,Eastern Standard Time,90,72,18,74,52,61%,66%,63,72,103,69%,69%,65%,55,21.59,7.77,35%,48%,27%,0,0,8,78,77,6,27.664978111878312,-80.43135191136267
Madera,California,156304,2604,$61397,13%,33,$394211,1634,$238,31,58%,$1176,52%,435,1801,21%,10%,56%,39%,53%,2%,3%,27%,64%,21%,Pacific Standard Time,96,55,40,64,36,40%,22%,46,52,93,76%,95%,49%,11,0.17,6.32,13%,0%,26%,0,0,6,5,53,5,37.029559666480864,-120.0320365684898
