	Month of Period End
Collins, IA	$155K
Collins, NY	$189K
Collins, OH	
Collins, WI	
Collinsburg, PA	
Collinston, LA	
Collinsville, AL	$127K
Collinsville, CT	$303K
Collinsville, IL	$173K
Collinsville, MS	
Collinsville, OK	$256K
Collinsville, TX	$265K
Collinsville, VA	$150K
Colma, CA	$750K
Colmar Manor, MD	$280K
Colo, IA	$168K
Cologne, MN	$477K
Cologne, NJ	$325K
Coloma, CA	
Coloma, MI	$191K
Colon, MI	$180K
Colon, NE	
Colona, CO	
Colona, IL	$132K
Colonia, NJ	$538K
Colonial Heights, TN	$212K
Colonial Heights, VA	$276K
Colonial Park, PA	$257K
Colonial Pine Hills, SD	
Colonie, NY	$291K
Colony Fairfield, MD	
Colony Park, PA	
Colony, AL	
Colorado Acres, TX	
Colorado City, AZ	
Colorado City, CO	$148K
Colorado Springs, CO	
Colp, IL	$98K
Colrain, MA	
Colt, AR	$40K
Colton, CA	$451K
Colton, NY	
Colton, SD	$275K
Colton, WA	$330K
Columbia City, IN	$250K
Columbia City, OR	$479K
Columbia Falls, MT	$587K
Columbia Heights, MN	$305K
Columbia Township, OH	$439K
Columbia, AL	
Columbia, CA	$308K
Columbia, IL	$245K
Columbia, MD	$433K
Columbia, MO	$295K
Columbia, NJ	
Columbia, NY	$322K
Columbia, PA	$256K
Columbia, SD	
Columbia, TN	$339K
Columbia, VA	
Columbiana, AL	$272K
Columbiana, OH	$405K
Columbiaville, MI	$165K
Columbine Valley, CO	$1,425K
Columbine, CO	$633K
Columbus, IL	
Columbus, IN	$266K
Columbus, MN	$465K
Columbus, MS	
Columbus, MT	$235K
Columbus, NE	$343K
Columbus, NM	
Columbus, OH	$270K
Columbus, PA	
Columbus, WI	$190K
Colver, PA	$140K
Colville, WA	$283K
Colwich, KS	
Colwyn, PA	$170K
Comanche Creek, CO	
Comanche, OK	
Combee Settlement, FL	$120K
Combes, TX	$490K
Combine, TX	$465K
Combined Locks, WI	$160K
Comfort, TX	$847K
Comfrey, MN	
Commack, NY	$722K
Commerce City, CO	$525K
Commerce, CA	$510K
Commerce, GA	$335K
Commerce, MO	
Commerce, OK	
Commerce, TX	$224K
Commercial Point, OH	$417K
Commodore, PA	$145K
Community, VA	
Como, IL	$124K
Como, TX	
Como, WI	$297K
Compo, CT	$2,525K
Comptche, CA	
Compton, CA	$580K
Compton, IL	
Comptons Corner, VA	
Comstock Northwest, MI	$271K
Comstock Park, MI	$311K
Conasauga, TN	
Conashaugh Lakes, PA	$462K
Conception Junction, MO	
Conception, MO	
Conchas Dam, NM	
Concord, AL	$235K
Concord, CA	$725K
Concord, GA	$315K
Concord, IL	
Concord, MA	$1,284K
Concord, MI	$100K
Concord, MO	$324K
Concord, NC	$330K
Concord, NE	
Concord, NH	$388K
Concord, NY	$950K
Concord, VA	$243K
Concorde Hills, OH	
Concordia, MO	
Concordia, NJ	$365K
Concow, CA	
Concrete, WA	$355K
Condon, MT	
Conejo, NM	$800K
Conestee, SC	$228K
Conestoga, PA	$320K
Conesus Hamlet, NY	
Conesus Lake, NY	$359K
Conesus, NY	$252K
Conesville, IA	
Conesville, NY	$425K
Conesville, OH	
Conetoe, NC	
Conewango, NY	
Confluence, PA	
Conger, MN	
Congers, NY	$665K
Congerville, IL	$140K
Congress, AZ	$330K
Congress, OH	
Conklin, NY	$138K
Conkling Park, ID	
Conley, GA	$125K
Conneaut Lake, PA	
Conneaut Lakeshore, PA	$507K
Conneaut, OH	$94K
Conneautville, PA	
Connecticut Farms, NJ	$455K
Connell, WA	
Connellsville, PA	$146K
Connelly Springs, NC	$155K
Connersville, IN	$96K
Connerton, FL	$411K
Conning Towers-Nautilus Park, CT	$314K
Connoquenessing, PA	
Connorville, OH	
Conover, NC	$272K
Conquest, NY	$146K
Conrad, IA	$128K
Conroe, TX	$305K
Conshohocken, PA	$434K
Constable, NY	
Constantia, NY	$260K
Constantine, MI	$165K
Continental Courts, PA	
Continental Divide, NM	
Contoocook, NH	$338K
Contra Costa Centre, CA	$620K
Convent, LA	
Converse, IN	$160K
Converse, SC	
Converse, TX	$287K
Convoy, OH	
Conway Springs, KS	
Conway, AR	$219K
Conway, FL	$502K
Conway, MA	
Conway, MO	$190K
Conway, NC	
Conway, PA	$210K
Conway, SC	$278K
Conway, WA	
Conyers, GA	$287K
Conyngham, PA	$165K
Cookeville, TN	$280K
Cookson, OK	$331K
Cookstown, NJ	
Cooksville, IL	
Cooksville, MD	
Cool Valley, MO	
Cool, TX	$380K
Cooleemee, NC	
Coolidge, AZ	$300K
Coolidge, GA	
Coolin, ID	
Coolville, OH	
Coon Rapids, IA	
Coon Rapids, MN	$319K
Cooper City, FL	$635K
Coopers Plains, NY	$438K
Coopersburg, PA	$400K
Cooperstown, NY	$388K
Cooperstown, PA	
Coopersville, MI	$268K
Coopertown, TN	$500K
Coos Bay, OR	$335K
Coosada, AL	
Coosawhatchie, SC	
Copake Falls, NY	
Copake Hamlet, NY	
Copake Lake, NY	
Copake, NY	$1,100K
Copalis Beach, WA	$350K
Copan, OK	$170K
Cope, SC	
Copiague, NY	$512K
Coplay, PA	$245K
Coppell, TX	$525K
Copper Canyon, TX	$946K
Copper City, MI	
Copper Harbor, MI	
Copper Hill, AZ	
Copper Mountain, CO	$895K
Copperas Cove, TX	$246K
Copperhill, TN	$355K
Copperton, UT	
Coquille, OR	$300K
Coral Gables, FL	$1,450K
Coral Hills, MD	$293K
Coral Springs, FL	$573K
Coral Terrace, FL	$718K
Coral, IL	
Coral, PA	
Coralville, IA	$365K
Coram, MT	
Coram, NY	$360K
Coraopolis, PA	$204K
Corbin City, NJ	$351K
Corbin, KY	$128K
Corcoran, CA	$270K
Corcoran, MN	$615K
Cordaville, MA	$850K
Cordele, GA	$125K
Corder, MO	
Cordes Lakes, AZ	
Cordova, AL	$115K
Cordova, IL	
Cordova, MD	
Cordova, NC	$123K
Cordova, NE	
Cordova, NM	
Cordova, SC	
Cordry Sweetwater Lakes, IN	$391K
Corfu, NY	
Corinna, ME	
Corinne, UT	
Corinth, GA	
Corinth, KY	
Corinth, MS	
Corinth, NY	$326K
Corinth, TX	$435K
Cornelia, GA	$280K
Cornelius, NC	$507K
Cornelius, OR	$465K
Cornell, CA	
Cornell, IL	
Cornell, WI	$115K
Cornersville, TN	$297K
Corning, CA	$219K
Corning, NY	$125K
Corning, OH	
Cornish, ME	
Cornish, UT	
Cornland, IL	
Cornville, AZ	$434K
Cornwall Bridge, CT	$430K
Cornwall-on-Hudson, NY	$461K
Cornwall, CT	$325K
Cornwall, NY	$461K
Cornwall, PA	$356K
Cornwells Heights, PA	
Corona de Tucson, AZ	$345K
Corona del Mar, CA	$2,450K
Corona, CA	$695K
Corona, NM	
Coronaca, SC	$645K
Coronado, CA	$2,725K
Coronita, CA	$625K
Corralitos, CA	
Correctionville, IA	
Corriganville, MD	
Corry, PA	$69K
Corsicana, TX	$200K
Corte Madera, CA	$1,818K
Cortez, FL	$750K
Cortland West, NY	
Cortland, IL	$245K
Cortland, NE	$275K
Cortland, NY	$155K
Cortland, OH	$215K
Cortlandt, NY	$663K
Cortlandville, NY	$145K
Corunna, IN	
Corunna, MI	$95K
Corvallis, OR	$557K
Corwin, OH	$387K
Corydon, IN	$275K
Corydon, KY	
Cos Cob, CT	$1,700K
Cosby, MO	
Cosby, TN	$220K
Coshocton, OH	$165K
Cosmopolis, WA	$305K
Costa Mesa, CA	$1,188K
Costilla, NM	
Cotati, CA	$689K
Coto de Caza, CA	$1,588K
Cotopaxi, CO	
Cottage City, MD	$306K
Cottage Grove, MN	$385K
Cottage Grove, OR	$380K
Cottage Grove, TN	
Cottage Grove, WI	$399K
Cottage Lake, WA	$1,304K
Cotter, AR	
Cottleville, MO	$479K
Cotton Town, PA	
Cotton Valley, LA	
Cottondale, AL	$140K
Cottontown, TN	$490K
Cottonwood Falls, KS	$75K
Cottonwood Heights, UT	$848K
Cottonwood, AL	$115K
Cottonwood, AZ	$322K
Cottonwood, CA	$382K
Cottonwood, CO	$620K
Cottonwood, MN	$116K
Cottonwood, TX	
Cougar, WA	
Coulee City, WA	
Council Bluffs, IA	$210K
Council Hill, OK	
Country Club Estates, GA	$175K
Country Club Heights, IN	
Country Club Hills, IL	$180K
Country Club Hills, MO	$64K
Country Club, CA	$365K
Country Club, FL	$290K
Country Club, MO	$216K
Country Homes, WA	$485K
Country Knolls, NY	$405K
Country Lake Estates, NJ	$282K
Country Life Acres, MO	$2,300K
Country Squire Lakes, IN	$60K
Country Walk, FL	$648K
Countryside, IL	$175K
Countryside, VA	$583K
County Center, VA	$461K
County Line, AL	
Coupeville, WA	$670K
Coupland, TX	
Courtdale, PA	$240K
Courtland, AL	$135K
Courtland, CA	
Courtland, VA	$213K
Cousins Island, ME	
Cove City, NC	
Cove Creek, NC	
Cove Forge, PA	
Cove Neck, NY	
Cove, OR	$570K
Cove, TX	$310K
Cove, UT	
Covedale, OH	$241K
Covelo, CA	$200K
Coventry Lake, CT	$290K
Coventry, RI	$366K
Covert, NY	
Covina, CA	$760K
Covington, GA	$273K
Covington, KY	$175K
Covington, LA	$288K
Covington, OH	$135K
Covington, OK	
Covington, TN	$135K
Covington, WA	$750K
Cowan, CA	
Cowan, TN	$141K
Coward, SC	
Cowarts, AL	
Coweta, OK	$291K
Cowgill, MO	
Cowiche, WA	
Cowpens, SC	
Coy, AR	
Coyle, OK	
Coyne Center, IL	
Coyote Acres, TX	$140K
Coyote Flats, TX	$440K
Coyote, NM	
Cozad, NE	
Crab Orchard, IL	$140K
Crab Orchard, KY	$64K
Crab Orchard, TN	$275K
Crabtree, OR	
Crabtree, PA	
Crafton, PA	$209K
Cragsmoor, NY	
Craig Beach, OH	
Craig, CO	$339K
Craig, MT	
Craigsville, VA	
Crainville, IL	
Cramerton, NC	$365K
Cranberry Lake, NY	$708K
Cranbury, NJ	
Crandall, IN	
Crandall, TX	$316K
Crandon Lakes, NJ	$268K
Cranesville, PA	
Cranford, NJ	
Cranston, RI	$403K
Crawford, NY	$363K
Crawford, TX	
Crawfordsville, AR	
Crawfordsville, IA	
Crawfordsville, IN	$162K
Crawfordsville, OR	
Crawfordville, FL	$257K
Creal Springs, IL	$19K
Cream Ridge, NJ	
Creedmoor, NC	$374K
Creedmoor, TX	
Creekside, KY	$360K
Creekside, PA	
Creighton, MO	$165K
Creola, AL	
Cresaptown, MD	
Crescent Bar, WA	$307K
Crescent Beach, FL	$702K
Crescent City, CA	$315K
Crescent City, FL	$310K
Crescent Lake, OR	
Crescent Springs, KY	$384K
Crescent Springs, OK	
Crescent, GA	
Crescent, IA	
Crescent, LA	
Crescent, OK	$117K
Crescent, OR	
Cressey, CA	
Cresskill, NJ	$1,100K
Cresson, PA	
Cresson, TX	$225K
Cressona, PA	$127K
Crest Hill, IL	$245K
Crest View Heights, NY	$219K
Crest, CA	$1,045K
Crestline, CA	$359K
Crestline, OH	$146K
Crestmore Heights, CA	
Creston, CA	$1,474K
Creston, IL	
Creston, NE	
Creston, OH	$190K
Crestview Hills, KY	$533K
Crestview, FL	$310K
Crestview, KY	
Crestview, NM	
Crestwood Village, NJ	$97K
Crestwood, IL	$151K
Crestwood, KY	$415K
Crestwood, MO	$320K
Creswell, OR	$412K
Crete, IL	$201K
Creve Coeur, IL	$97K
Creve Coeur, MO	$402K
Cricket, NC	
Cridersville, OH	$68K
Crimora, VA	
Cripple Creek, CO	
Crisman, CO	
Crittenden, KY	$235K
Crivitz, WI	$265K
Crocker, MO	$254K
Crocker, WA	
Crockett, CA	$625K
Crofton, KY	
Crofton, MD	$431K
Crompond, NY	$815K
Cromwell, IN	
Crook City, SD	
Crook, CO	
Crooked Lake Park, FL	$259K
Crooks, SD	
Crooksville, OH	$104K
Croom, MD	$849K
Crosby Township, OH	$370K
Crosby, MN	$205K
Crosby, TX	$290K
Crosbyton, TX	$125K
Cross Anchor, SC	$347K
Cross Creek, PA	
Cross Hill, SC	
Cross Keys, PA	
Cross Mountain, TX	$489K
Cross Plains, TN	$470K
Cross Plains, TX	$14K
Cross Plains, WI	$569K
Cross Roads, PA	
Cross Roads, TX	$850K
Cross Timber, TX	
Crossgate, KY	
Crosslake, MN	$885K
Crosspointe, VA	$900K
Crossville, AL	$31K
Crossville, TN	$335K
Crosswicks, NJ	
Crothersville, IN	$153K
Croton-on-Hudson, NY	$879K
Crouch, ID	$635K
Crouse, NC	
Crowder, OK	
Crowley, LA	$97K
Crowley, TX	$305K
Crown City, OH	
Crown Heights, NY	
Crown Point, IN	$299K
Crownsville, MD	$1,369K
Crows Landing, CA	
Crows Nest, IN	
Croydon, PA	$305K
Crozet, VA	$579K
Crozier, AZ	
Crugers, NY	$450K
Crumpton, MD	
Crystal Bay, NV	
Crystal Beach, AZ	
Crystal Beach, NY	$485K
Crystal City, MO	$256K
Crystal Lake Park, MO	
Crystal Lake, CT	$410K
Crystal Lake, FL	$240K
Crystal Lake, IL	$251K
Crystal Lakes, MO	
Crystal Lakes, OH	
Crystal Lawns, IL	$255K
Crystal Mountain, MI	$220K
Crystal River, FL	$290K
Crystal Rock, OH	
Crystal Springs, AR	
Crystal Springs, FL	$154K
Crystal Springs, MS	$155K
Crystal, MI	
Crystal, MN	$300K
Cuartelez, NM	
Cuba City, WI	$150K
Cuba, IL	$61K
Cubero, NM	
Cudahy, CA	$470K
Cudahy, WI	$215K
Cudjoe Key, FL	$1,212K
Cuevitas, TX	
Culdesac, ID	
Cullen, LA	
Cullman, AL	$240K
Culloden, GA	
Cullom, IL	$53K
Cullowhee, NC	$380K
Culp, PA	
Culpeper, VA	$411K
Culver City, CA	$1,285K
Culver, IN	$330K
Culver, KS	
Cumberland Center, ME	$710K
Cumberland City, TN	
Cumberland Head, NY	
Cumberland Hill, RI	$408K
Cumberland-Hesstown, NJ	
Cumberland, IN	$300K
Cumberland, MD	$100K
Cumberland, OH	
Cumberland, RI	$415K
Cumbola, PA	$166K
Cumby, TX	
Cumings, TX	$365K
Cumming, GA	$548K
Cumming, IA	
Cummington, MA	$48K
Cumminsville, NY	
Cundiyo, NM	
Cupertino, CA	$2,661K
Curdsville, KY	
Curran, IL	
Curryville, PA	
Curtice, OH	$410K
Curtisville, PA	
Curwensville, PA	
Cushing, IA	
Cushing, OK	$178K
Cushing, TX	
Cushman, AR	
Cusseta, AL	
Custar, OH	$70K
Custer City, OK	
Custer Park, IL	$180K
Custer, MI	$365K
Custer, MT	$75K
Custer, WA	$475K
Cut & Shoot, TX	$245K
Cut Off, LA	$35K
Cutchogue, NY	$2,063K
Cutler Bay, FL	$525K
Cutler, CA	$245K
Cutlerville, MI	$318K
Cutten, CA	$565K
Cuyahoga Falls, OH	$199K
Cuyahoga Heights, OH	$239K
Cuyama, CA	
Cuyamungue Grant, NM	
Cuyamungue, NM	
Cuyler, NY	
Cuylerville, NY	
Cuyuna, MN	
Cygnet, OH	
Cynthiana, IN	
Cypress Gardens, FL	$346K
Cypress Lake, FL	$260K
Cypress Landing, NC	$590K
Cypress Quarters, FL	$225K
Cypress, CA	$912K
Cypress, IL	
D'Hanis, TX	
D'Iberville, MS	$334K
D'Lo, MS	
Dacono, CO	$500K
Dacula, GA	$416K
Dacusville, SC	
Dade City North, FL	$237K
Dade City, FL	$335K
Dadeville, AL	$257K
Daggett, CA	
Daggett, MI	
Daisetta, TX	
Daisytown, PA	
Dakota Dunes, SD	$514K
Dakota Ridge, CO	$595K
Dakota, IL	
Dakota, MN	
Dale City, VA	$448K
Dale, OK	
Dale, PA	
Dale, SC	$800K
Dale, WI	
Daleville, AL	$189K
Daleville, IN	$168K
Daleville, VA	$525K
Dallas Center, IA	$230K
Dallas City, IL	
Dallas, GA	$308K
Dallas, NC	$200K
Dallas, OR	$445K
Dallas, PA	$252K
Dallas, TX	$414K
Dallastown, PA	$215K
Dalmatia, PA	
Dalton Gardens, ID	$770K
Dalton, GA	$216K
Dalton, MA	$410K
Dalton, MN	
Dalton, NY	$150K
Dalton, OH	
Dalton, PA	$365K
Dalworthington Gardens, TX	$244K
Daly City, CA	$1,090K
Dalzell, IL	
Dalzell, SC	$199K
Damascus, MD	$614K
Damascus, OH	
Damascus, OR	$715K
Damascus, VA	
Damiansville, IL	$333K
Dammeron Valley, UT	$883K
Damon, TX	
Dana Point, CA	$1,603K
Dana, IL	
Dana, IN	
Dana, NC	$392K
Danbury, CT	$413K
Danbury, IA	
Danbury, NC	
Danbury, TX	$253K
Danby, NY	$338K
Danby, VT	$190K
Dandridge, TN	$320K
Dane, WI	$470K
Dania Beach, FL	$305K
Daniel, UT	
Daniels Farm, CT	
Danielson, CT	$330K
Dannebrog, NE	
Dannemora, NY	$137K
Dansville, MI	$229K
Dansville, NY	$106K
Danube, NY	
Danvers, IL	$271K
Danvers, MA	$607K
Danville, AR	$143K
Danville, CA	$1,775K
Danville, GA	
Danville, IA	$186K
Danville, IL	$115K
Danville, IN	$320K
Danville, KY	$243K
Danville, MD	$56K
Danville, OH	
Danville, PA	$180K
Danville, VA	$110K
Danwood, SC	
Daphne, AL	$303K
Darby, PA	$175K
Darbydale, OH	$250K
Darbyville, OH	
Dardanelle, AR	$175K
Dardenne Prairie, MO	$500K
Dargan, MD	
Darien Downtown, CT	$894K
Darien, CT	$2,021K
Darien, GA	$249K
Darien, IL	$273K
Darien, NY	$220K
Darien, WI	$382K
Darlington, IN	$244K
Darlington, MD	$445K
Darlington, PA	$75K
Darlington, SC	
Darmstadt, IL	
Darmstadt, IN	$540K
Darnestown, MD	$900K
Darrington, WA	$375K
Darrow, LA	
Darrtown, OH	$400K
Dartmouth, MA	$488K
Dash Point, WA	$940K
Dasher, GA	
Dauberville, PA	$251K
Daufuskie Island, SC	$1,400K
Dauphin Island, AL	$485K
Dauphin, PA	$367K
Davenport, CA	
Davenport, FL	$342K
Davenport, IA	$172K
Davenport, OK	
Davey, NE	
Davidson, NC	$557K
Davidsonville, MD	$955K
Davidsville, PA	
Davie, FL	$578K
Davis Junction, IL	$201K
Davis, CA	$920K
Davis, IL	$255K
Davis, NC	$150K
Davis, SD	
Davison, MI	$217K
Daviston, AL	$250K
Dawson Springs, KY	$19K
Dawson, GA	
Dawson, IA	
Dawson, IL	$90K
Dawson, MD	$225K
Dawson, PA	
Dawson, TX	
Dawsonville, GA	$415K
Day Heights, OH	$295K
Day Valley, CA	$1,180K
Day, NY	$120K
Days Creek, OR	
Dayton Lakes, TX	
Dayton, IA	
Dayton, ID	
Dayton, IL	
Dayton, IN	$415K
Dayton, KY	$217K
Dayton, MD	
Dayton, MN	$420K
Dayton, NJ	$538K
Dayton, NV	$435K
Dayton, NY	
Dayton, OH	$110K
Dayton, OR	$555K
Dayton, PA	$112K
Dayton, TN	$225K
Dayton, TX	$289K
Dayton, VA	$285K
Daytona Beach Shores, FL	$355K
Daytona Beach, FL	$250K
Dayville, CT	$250K
De Beque, CO	$219K
De Funiak Springs, FL	$218K
De Graff, OH	
De Kalb, MO	$250K
De Kalb, NY	
De Kalb, TX	$180K
De Land, IL	
De Leon Springs, FL	$288K
De Motte, IN	$262K
De Pere, WI	$315K
De Peyster, NY	$17K
De Pue, IL	$79K
De Soto, IA	$363K
De Soto, IL	
De Soto, KS	$438K
De Soto, MO	$90K
De Tour Village, MI	
De Witt, NY	$210K
Deadwood, SD	$325K
Deal, NJ	$1,575K
Deale, MD	$390K
Dean, TX	
Deans, NJ	
Deanville, TX	
Dearborn Heights, MI	$150K
Dearborn, MI	$230K
Dearborn, MO	$456K
Dearing, GA	$200K
Dearing, KS	$81K
Deary, ID	$475K
Deatsville, AL	$270K
DeBary, FL	$410K
DeBordieu Colony, SC	
Decatur, AL	$226K
Decatur, AR	$183K
Decatur, GA	$344K
Decatur, IL	$108K
Decatur, IN	$149K
Decatur, NY	
Decatur, TX	$295K
Decherd, TN	$234K
Decker, IN	
Declo, ID	
DeCordova, TX	$350K
Dedham, IA	
Dedham, MA	$725K
Deemston, PA	
Deenwood, GA	$209K
Deep River Center, CT	$200K
Deep Run, NC	
Deephaven, MN	$1,400K
Deer Creek, AZ	
Deer Creek, IL	$130K
Deer Creek, IN	
Deer Creek, MN	$120K
Deer Grove, IL	
Deer Island, OR	
Deer Lake, PA	
Deer Park, AL	
Deer Park, CA	$2,200K
Deer Park, IL	$615K
Deer Park, NY	$520K
Deer Park, OH	$281K
Deer Park, TX	$265K
Deer Park, WA	$497K
Deer Park, WI	$180K
Deer River, MN	$239K
Deer Trail, CO	$383K
Deercroft, NC	$325K
Deerfield Beach, FL	$290K
Deerfield Street, NJ	
Deerfield, IL	$488K
Deerfield, KS	
Deerfield, MA	
Deerfield, MI	$133K
Deerfield, NY	
Deerfield, VA	
Deerfield, WI	$340K
Deerpark, NY	$280K
Deerwood, MN	$293K
Deerwood, TX	$130K
Deferiet, NY	
Defiance, MO	$625K
Defiance, OH	$105K
Deforest, WI	$406K
DeFuniak Springs, FL	$280K
DeKalb Junction, NY	
DeKalb, IL	$220K
Dekorra, WI	$319K
Del Aire, CA	$870K
Del City, OK	$146K
Del Mar, CA	$2,670K
Del Monte Forest, CA	$2,890K
Del Rey Oaks, CA	$539K
Del Rey, CA	$255K
Del Rio, CA	$1,382K
Del Rio, TX	$194K
Delacroix, LA	
Delafield, WI	$405K
DeLand Southwest, FL	
DeLand, FL	$358K
Delano, CA	$311K
Delano, MN	$506K
Delano, PA	$90K
Delano, TN	
Delanson, NY	$354K
Delaplaine, AR	
Delavan Lake, WI	$295K
Delavan, IL	$129K
Delavan, WI	$263K
Delaware City, DE	$300K
Delaware Park, NJ	$370K
Delaware Water Gap, PA	
Delaware, NJ	$450K
Delaware, OH	$430K
Delcambre, LA	
Delevan, NY	
Delft Colony, CA	
Delhi Hills, OH	$220K
Delhi Township, OH	$225K
Delhi, CA	$250K
Delia, KS	
DeLisle, MS	$220K
Dell City, TX	$235K
Dell Rapids, SD	$283K
Dell, AR	
Dellroy, OH	$406K
Dellview, NC	
Dellwood, MN	$854K
Dellwood, MO	$105K
Delmar, IA	
Delmita, TX	
Delmont, NJ	
Delmont, PA	$194K
Delphi, IN	$246K
Delphos, KS	$40K
Delphos, OH	$82K
Delray Beach, FL	$445K
Delshire, OH	$195K
Delta, MO	
Delta, OH	$225K
Delta, PA	$222K
Deltona, FL	$301K
Demarest, NJ	$1,078K
Deming, NM	$186K
Deming, WA	$1,200K
Demorest, GA	$219K
Denair, CA	$470K
Denham Springs, LA	$234K
Denio, NV	
Denison, KS	
Denison, TX	$232K
Denmark, IA	
Denmark, WI	$237K
Denning, AR	
Denning, NY	
Dennis Acres, MO	
Dennis Port, MA	$453K
Dennis, KS	
Dennis, MA	$668K
Dennis, TX	$840K
Dennison, MN	
Dennison, OH	$210K
Dennisville, NJ	$535K
Dent, MN	
Dent, OH	$212K
Denton, NC	$220K
Denton, NE	
Denton, TX	$381K
Denver, CO	$565K
Denver, IA	
Denver, IN	$50K
Denver, NC	$445K
Denver, PA	$308K
Depauville, NY	
Depew, NY	$214K
Depew, OK	
Depoe Bay, OR	$965K
Deport, TX	
Deposit, NY	
Deputy, IN	
DeQuincy, LA	$90K
Derby Acres, CA	
Derby, CO	$415K
Derby, CT	$268K
Derby, KS	$240K
Derby, OH	
DeRidder, LA	$195K
Dering Harbor, NY	
Derry, NH	$326K
Derry, PA	$118K
DeRuyter, NY	
Derwood, MD	$577K
Des Allemands, LA	$165K
Des Moines, IA	$195K
Des Moines, WA	$630K
Des Peres, MO	$855K
Des Plaines, IL	$278K
Descanso, CA	$200K
Deschutes River Woods, OR	$775K
Desert Aire, WA	
Desert Center, CA	
Desert Edge, CA	
Desert Heights, CA	
Desert Hills, AZ	$791K
Desert Hot Springs, CA	$385K
Desert Palms, CA	$525K
Desert Shores, CA	
Desert View Highlands, CA	$410K
Desha, AR	$293K
Desloge, MO	$154K
Desoto Acres, FL	$880K
Desoto Lakes, FL	
Desoto, TX	$350K
Destin, FL	$582K
Destrehan, LA	$287K
Detmold, MD	
Detroit Beach, MI	
Detroit, MI	$75K
Detroit, OR	
Devens, MA	$685K
Devers, TX	
Deville, LA	
Devine, TX	$193K
Devol, OK	
Devola, OH	$151K
Devon, PA	
Dewar, OK	$35K
Dewart, PA	
Dewey-Humboldt, AZ	$430K
Dewey, IL	
Dewey, OK	$84K
Deweyville, UT	
DeWitt, IA	$189K
DeWitt, MI	$370K
Dexter, GA	
Dexter, IA	$122K
Dexter, KS	$57K
Dexter, KY	
Dexter, ME	$100K
Dexter, MI	$408K
Dexter, MN	
Dexter, NM	
Dexter, NY	$203K
Dexter, OR	$425K
Diablo Grande, CA	$566K
Diablo, CA	$4,750K
Diamond Bar, CA	$1,000K
Diamond Beach, NJ	$821K
Diamond Bluff, WI	$211K
Diamond City, AR	
Diamond Springs, CA	$471K
Diamond, IL	$260K
Diamond, MO	$115K
Diamondhead Lake, IA	$235K
Diamondhead, MS	$263K
Dibble, OK	$131K
Diboll, TX	$110K
Dickens, IA	
Dickerson City, FL	$775K
Dickerson, MD	
Dickeyville, WI	$220K
Dickinson, NY	$168K
Dickinson, TX	$273K
Dickson City, PA	$83K
Dickson, OK	$242K
Dickson, TN	$320K
Dicksonville, PA	
Diehlstadt, MO	
Dieterich, IL	
Difficult Run, VA	$1,388K
Diggins, MO	
Dighton, MA	$545K
Dike, IA	
Dillard, OR	
Dilley, OR	
Dilley, TX	$97K
Dillon Beach, CA	$1,490K
Dillon, CO	$782K
Dillonvale, OH	$275K
Dillsboro, IN	
Dillsboro, NC	
Dillsburg, PA	$332K
Dilworthtown, PA	$380K
Dimondale, MI	$243K
Dinosaur, CO	
Dinuba, CA	$294K
Dinwiddie, VA	$250K
Discovery Bay, CA	$844K
Discovery Harbour, HI	$363K
Discovery-Spring Garden, MD	$345K
Dish, TX	
Disputanta, VA	$630K
District Heights, MD	$318K
Divernon, IL	$153K
Divide, CO	
Dividing Creek, NJ	
Dix Hills, NY	$760K
Dix, IL	
Dixie Inn, LA	
Dixie Union, GA	
Dixie, GA	
Dixie, WA	
Dixmoor, IL	
Dixon, CA	$650K
Dixon, IA	
Dixon, IL	$180K
Dixon, MO	$215K
Dixon, NM	
Dixonville, FL	
Dixonville, PA	
Dobbins Heights, NC	
Dobbins, CA	
Dobbs Ferry, NY	$904K
Dobson, NC	$250K
Dock Junction, GA	$209K
Doctor Phillips, FL	$545K
Dodd City, TX	$289K
Doddsville, MS	
Dodge Center, MN	$261K
Dodge City, AL	
Dodge City, KS	$200K
Dodge, NE	$54K
Dodgeville, MI	
Dodgeville, WI	$303K
Dodgingtown, CT	$510K
Dodson Branch, TN	$250K
Doe Run, MO	
Doe Valley, KY	$335K
Doerun, GA	
Doffing, TX	
Dogtown, CA	
Dolan Springs, AZ	$137K
Dolgeville, NY	$103K
Dollar Bay, MI	
Dollar Point, CA	$765K
Dollars Corner, WA	$850K
Dolton, IL	$144K
Doña Ana, NM	
Donahue, IA	
Donald, OR	
Donald, WA	
Donaldson, AR	
Donaldson, PA	
Donaldsonville, LA	$30K
Donegal, PA	
Doney Park, AZ	$726K
Doniphan, MO	$180K
Doniphan, NE	
Donna, TX	$157K
Donnellson, IA	$85K
Donnelsville, OH	
Donora, PA	$58K
Donovan Estates, AZ	
Doolittle, MO	$180K
Doolittle, TX	$217K
Dooms, VA	
Dora, AL	
Dora, AR	
Dora, NM	
Doral, FL	$523K
Doran, MN	
Doran, VA	
Doraville, GA	$330K
Dorchester, IL	
Dorchester, NJ	
Dorchester, TX	
Dormont, PA	$278K
Dorneyville, PA	$385K
Dorothy, NJ	
Dorr, MI	$265K
Dorset, VT	
Dorseyville, LA	
Dortches, NC	
Dos Palos Y, CA	
Dos Palos, CA	$325K
Dothan, AL	$210K
Dotsero, CO	$515K
Dotyville, OK	
Double Oak, TX	$800K
Double Spring, NV	$1,050K
Dougherty, IA	
