County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Clinton County,39110,Clinton,Iowa,721,$48990,17%,42,$149199,1564,$95,63,72%,$651,52%,308,3646,15%,4%,59%,43%,48%,0%,3%,89%,3%,1%,N/A,84,29,54,40,32,8,75,3,41.843079519602746,-90.2965607085677,53%,63%,46%,59%,57%,46,39,62,64,13,14.26,5.72,32%,34%,31%,20
Pope County,39103,Russellville,Arkansas,889,$39604,26%,30,$126649,1235,$104,36,61%,$696,56%,463,2727,17%,7%,58%,22%,72%,1%,4%,77%,12%,7%,N/A,93,51,42,50,3,7,41,5,35.27990836047106,-93.11617850610439,67%,80%,55%,56%,55%,55,49,67,71,29,11.9,11.17,30%,29%,28%,0
Seneca County,38883,Fostoria,Ohio,1099,$50127,10%,36,$159741,1401,$110,58,72%,$664,47%,N/A,N/A,23%,4%,60%,30%,61%,0%,3%,81%,7%,2%,N/A,85,34,50,40,32,7,71,3,41.1376706869223,-83.25119989860093,46%,57%,34%,63%,58%,32,39,59,64,19,12.09,7.97,36%,33%,39%,23
Montgomery County,38748,Coffeyville,Kansas,1090,$41198,18%,37,$83308,1304,$62,63,67%,$661,53%,806,4023,21%,4%,58%,22%,72%,0%,6%,76%,8%,1%,N/A,91,45,45,46,9,7,54,4,37.151566453014354,-95.70628771085217,59%,70%,53%,56%,55%,47,47,67,69,22,15.12,4.95,24%,26%,18%,2
Augusta County,38553,Stuarts Draft,Virginia,427,$59466,21%,41,$320121,1881,$170,33,74%,$949,45%,N/A,N/A,11%,2%,59%,22%,72%,0%,4%,88%,3%,2%,Eastern Standard Time,85,43,42,44,17,5,78,4,38.09912800892278,-79.00176282377767,59%,64%,54%,52%,56%,33,41,60,63,23,12.66,8.49,34%,42%,28%,5
Clay County,38497,Brazil,Indiana,1645,$49892,12%,37,$127471,1336,$95,54,68%,$758,43%,N/A,N/A,15%,4%,56%,20%,75%,0%,0%,94%,2%,0%,Eastern Standard Time,86,38,47,47,13,6,73,3,39.47456075530561,-87.11989363683143,51%,64%,41%,60%,57%,41,42,63,65,20,13.52,9.56,30%,28%,32%,8
Harrison County,38394,Clarksburg,West Virginia,1354,$53886,26%,40,N/A,N/A,N/A,63,71%,$819,53%,N/A,N/A,16%,6%,59%,27%,66%,0%,2%,92%,1%,1%,N/A,85,40,44,48,22,4,64,3,39.294405894290776,-80.32072337547793,42%,52%,29%,58%,59%,34,40,59,63,22,14.4,11.31,45%,46%,49%,16
Sandoval County,38197,Bernalillo,New Mexico,898,$61129,29%,45,$534859,2393,$218,34,81%,$943,50%,N/A,N/A,16%,6%,52%,44%,42%,1%,0%,36%,35%,6%,Mountain Standard Time,93,47,45,10,13,N/A,76,6,35.38078227994521,-106.57576389808241,76%,78%,73%,29%,25%,39,30,45,61,21,4.34,1.82,15%,23%,12%,4
Brown County,38107,Aberdeen,South Dakota,1409,$52892,28%,45,N/A,N/A,N/A,47,59%,N/A,46%,518,2037,9%,2%,58%,33%,59%,4%,2%,94%,2%,4%,N/A,84,22,61,22,43,N/A,85,3,45.4727143538169,-98.47861947789119,62%,72%,57%,61%,55%,38,33,56,60,3,9.16,2.05,25%,31%,22%,26
Raleigh County,38064,Beckley,West Virginia,1089,$43121,19%,43,N/A,N/A,N/A,50,67%,$760,46%,N/A,N/A,21%,5%,52%,21%,73%,1%,8%,83%,1%,2%,Eastern Standard Time,79,39,40,45,40,7,73,4,37.75929390593737,-81.18244272420398,59%,64%,54%,60%,61%,43,41,60,58,19,14.12,10.05,41%,42%,46%,17
Bastrop County,38016,Elgin,Texas,938,$58028,19%,38,$370024,1743,$212,33,70%,$925,52%,76,926,12%,5%,59%,36%,57%,0%,11%,47%,40%,10%,Central Standard Time,97,62,35,36,0,6,65,6,30.18841399882155,-97.3198498892808,58%,69%,52%,55%,51%,41,55,68,74,37,7.31,7.01,18%,14%,20%,0
Cerro Gordo County,37897,Mason City,Iowa,875,$52669,22%,42,$181774,1713,$107,61,65%,$724,46%,598,2665,9%,3%,66%,42%,50%,1%,2%,88%,5%,2%,N/A,83,24,58,36,46,8,78,3,43.135810468221756,-93.2571385758688,58%,71%,49%,62%,58%,41,36,59,61,8,13.11,3.75,31%,34%,26%,24
Rockingham County,37875,Eden,North Carolina,893,$39376,16%,45,$160018,1299,$122,52,57%,$658,52%,670,4870,21%,8%,52%,33%,63%,1%,29%,60%,5%,3%,Eastern Standard Time,88,48,40,48,8,6,62,4,36.42033233451089,-79.7470935723142,59%,62%,54%,51%,54%,41,46,65,67,28,13.33,10.61,32%,35%,32%,0
Creek County,37794,Sapulpa,Oklahoma,829,$48911,14%,38,$207083,1457,$138,41,63%,$779,50%,229,2304,15%,3%,54%,20%,74%,0%,2%,75%,5%,2%,Central Standard Time,94,50,43,42,8,7,52,4,35.99534997370746,-96.21811181769064,59%,70%,53%,56%,55%,47,47,67,72,27,12.92,5.8,24%,25%,18%,3
Fayette County,37763,Connersville,Indiana,1232,$39176,12%,42,$105270,1240,$84,62,63%,$685,50%,N/A,N/A,24%,5%,55%,23%,71%,0%,4%,91%,1%,1%,N/A,84,35,48,46,24,8,68,3,39.656496652863915,-85.1504143668591,52%,65%,41%,59%,56%,39,41,61,63,20,13.04,10.01,32%,33%,30%,15
Whitfield County,37744,Dalton,Georgia,1466,$48172,19%,34,$215639,1634,$132,36,51%,$723,51%,N/A,N/A,19%,5%,62%,25%,70%,1%,4%,45%,44%,24%,Eastern Standard Time,89,51,38,59,3,5,46,4,34.78321166600255,-84.97398504882895,55%,60%,46%,55%,56%,55,48,67,68,30,15.02,15.99,32%,35%,36%,1
Marion County,37715,Centralia,Illinois,1219,$40949,15%,41,$56713,1149,$49,52,71%,$607,52%,1472,4638,22%,10%,56%,25%,69%,1%,6%,84%,4%,1%,N/A,88,39,49,48,12,6,66,4,38.56236413160811,-89.07148835791862,57%,67%,49%,58%,55%,46,44,65,66,21,13.08,8.92,30%,28%,28%,5
Apache County,37700,Eagar,Arizona,292,$40179,16%,33,$323326,1472,$222,34,66%,$576,63%,364,3422,32%,8%,42%,61%,29%,0%,0%,22%,9%,1%,N/A,90,46,44,12,27,6,84,6,35.460008320371365,-109.34919804385147,76%,78%,73%,28%,23%,36,29,42,55,16,4.56,3.17,19%,24%,21%,11
Cowley County,37685,Winfield,Kansas,886,$49666,21%,35,$112179,1655,$67,56,67%,$661,47%,412,3525,15%,5%,57%,28%,65%,2%,3%,76%,11%,4%,N/A,91,46,44,39,8,8,62,4,37.1772326020008,-96.97879593215075,64%,73%,59%,55%,51%,53,43,62,69,21,14.36,3.91,24%,28%,16%,3
Troup County,37530,LaGrange,Georgia,658,$36432,20%,34,$225514,1842,$123,42,46%,$823,59%,N/A,N/A,25%,6%,59%,37%,60%,2%,51%,39%,4%,4%,N/A,90,55,34,55,2,6,50,3,33.02536504052758,-85.03797599219557,60%,63%,53%,53%,54%,53,53,69,67,31,13.42,17.18,35%,40%,39%,0
Pierce County,37441,River Falls,Wisconsin,1130,$63874,30%,44,$358019,1905,$187,39,68%,$834,47%,95,1136,6%,2%,65%,39%,52%,1%,0%,96%,2%,1%,Central Standard Time,82,22,59,35,49,8,76,3,44.76341567001683,-92.54618014444861,50%,60%,45%,64%,60%,39,34,58,60,5,14.47,3.54,30%,35%,24%,25
Coshocton County,37398,Coshocton,Ohio,1143,$46539,15%,39,$176401,1543,$112,53,68%,$649,44%,N/A,N/A,21%,6%,57%,25%,68%,0%,1%,94%,1%,1%,N/A,83,36,46,44,21,7,70,3,40.29136393665971,-81.85183814633936,45%,54%,35%,62%,57%,38,39,59,62,19,13.63,9.25,38%,37%,41%,11
Carteret County,37308,Morehead City,North Carolina,876,$58408,32%,48,$411719,1612,$256,34,66%,$1052,43%,248,2808,9%,4%,55%,26%,70%,0%,4%,85%,4%,2%,N/A,86,55,31,60,1,6,85,4,34.72118504133697,-76.82642601107804,59%,61%,55%,53%,56%,42,47,66,72,35,18.02,12.43,34%,39%,35%,0
Campbell County,37129,Gillette,Wyoming,1365,$76125,19%,32,N/A,N/A,N/A,31,75%,$858,41%,134,1958,12%,3%,70%,7%,86%,0%,1%,84%,9%,2%,N/A,87,34,53,18,49,7,80,3,44.245607012224944,-105.49482273609846,60%,71%,52%,50%,36%,32,28,45,56,14,5.96,2.11,27%,27%,26%,26
Jessamine County,37068,Nicholasville,Kentucky,1993,$56542,24%,36,$273126,1784,$153,32,56%,$805,51%,124,2213,15%,5%,62%,26%,66%,1%,5%,86%,4%,5%,Eastern Standard Time,87,43,44,52,16,7,63,4,37.88643432118,-84.58459328515701,55%,65%,46%,56%,55%,45,45,65,66,25,13.39,12.05,37%,35%,41%,11
Marinette County,37008,Marinette,Wisconsin,840,$46205,15%,41,$142826,1428,$102,49,59%,$674,43%,120,1257,15%,4%,58%,31%,64%,0%,1%,94%,2%,1%,N/A,81,25,55,33,48,N/A,86,3,45.181993569749785,-87.81737886643968,55%,67%,48%,63%,59%,31,35,57,58,9,10.94,4.72,31%,34%,28%,24
Henderson County,36994,Athens,Texas,710,$44283,17%,41,$357974,1740,$208,38,68%,$819,47%,244,1707,20%,6%,52%,18%,78%,0%,10%,70%,15%,5%,N/A,96,58,38,44,0,7,60,5,32.24421640190301,-95.90124637501759,61%,71%,56%,54%,50%,45,52,67,74,34,9.02,10.71,24%,19%,27%,0
Washington County,36949,Greenville,Mississippi,1093,$30531,20%,37,$205000,1898,$108,50,46%,$695,62%,N/A,N/A,32%,11%,54%,67%,31%,0%,82%,15%,0%,0%,N/A,93,53,39,51,0,6,55,5,33.37671745399876,-91.02134285057241,59%,66%,50%,57%,57%,66,54,70,71,34,10.37,14.64,27%,23%,32%,0
Nodaway County,36945,Polk township (Nodaway Cnty),Missouri,739,$38118,30%,26,$187627,1726,$109,46,51%,$644,58%,N/A,N/A,27%,3%,58%,26%,67%,1%,2%,90%,1%,2%,N/A,86,33,52,38,22,8,70,4,40.35031209123562,-94.85956586905668,61%,70%,54%,59%,58%,51,41,63,66,14,14.8,3.79,22%,27%,15%,10
Polk County,36926,East Grand Forks,Minnesota,1067,$55132,30%,36,$222824,2474,$91,51,71%,$669,48%,266,1242,13%,3%,63%,31%,60%,1%,3%,83%,7%,5%,Central Standard Time,81,17,64,23,50,7,86,3,47.784120044256106,-96.58550546333207,56%,70%,48%,62%,55%,31,31,56,58,-1,10.01,2.07,28%,34%,25%,41
Worcester County,36881,Ocean Pines,Maryland,1525,$66558,29%,51,$389276,1593,$257,35,71%,$1235,46%,61,1378,9%,5%,57%,34%,60%,1%,11%,80%,3%,5%,Eastern Standard Time,85,45,40,50,8,7,81,3,38.326113730056136,-75.20126383031644,53%,59%,48%,56%,57%,28,43,63,69,28,14.11,10.98,37%,37%,39%,3
Morrow County,36836,Gilead,Ohio,1622,$49315,14%,37,$200787,1470,$136,39,71%,$677,44%,N/A,N/A,13%,3%,64%,22%,71%,0%,0%,91%,4%,0%,Eastern Standard Time,83,34,49,44,37,7,77,5,40.52313071260995,-82.80085856304972,45%,54%,35%,62%,57%,38,39,59,61,17,13.37,9.21,37%,36%,38%,25
Carter County,36815,Ardmore,Oklahoma,395,$48303,20%,37,$170325,1502,$112,47,62%,$791,52%,603,3163,19%,4%,58%,21%,74%,1%,7%,66%,8%,4%,N/A,94,53,40,38,5,N/A,54,5,34.199302099399695,-97.18011466379464,66%,76%,60%,50%,46%,48,47,64,72,31,9.89,6.09,18%,17%,16%,2
Jackson County,36740,Jackson,Ohio,632,$41276,14%,36,$163068,1378,$112,48,60%,$676,47%,N/A,N/A,22%,6%,61%,23%,72%,0%,2%,92%,2%,1%,N/A,81,38,43,43,12,5,69,5,39.02481258851932,-82.60789275444475,45%,54%,35%,57%,58%,42,44,64,62,20,12.49,10.26,37%,36%,41%,5
Chippewa County,36657,Sault Ste. Marie,Michigan,362,$44583,24%,34,N/A,N/A,N/A,48,52%,$791,56%,109,82,19%,7%,62%,34%,58%,0%,2%,72%,2%,4%,N/A,77,25,52,35,117,7,89,3,46.35634868144419,-84.43171252912406,48%,61%,38%,65%,61%,29,32,53,54,8,9.35,6.77,45%,36%,58%,75
Washington County,36649,Washington township (Washington Cnty),Indiana,792,$43791,12%,37,$153022,1261,$120,42,68%,$652,46%,N/A,N/A,24%,3%,57%,23%,72%,0%,0%,96%,2%,0%,Eastern Standard Time,87,41,46,54,14,7,69,4,38.58561497256405,-86.09082365519933,55%,65%,46%,56%,55%,45,45,65,65,22,13.8,12.03,32%,29%,35%,10
Marion County,36551,Silver Springs Shores,Florida,1349,$44356,14%,39,$246983,1433,$172,32,68%,$967,54%,534,4320,16%,6%,54%,35%,61%,1%,22%,54%,20%,10%,Eastern Standard Time,91,70,21,51,0,6,55,6,29.117080649519846,-82.07912143423984,68%,66%,64%,56%,61%,73,61,71,71,45,22.8,8.35,33%,56%,26%,0
Iberia County,36390,New Iberia,Louisiana,2471,$43919,17%,36,$142969,1414,$100,51,56%,$795,54%,N/A,N/A,27%,13%,55%,33%,64%,0%,44%,47%,4%,2%,Central Standard Time,92,62,30,59,0,6,51,5,29.99018648010992,-91.7959582445507,67%,81%,48%,59%,61%,72,57,71,74,42,20.37,13.34,34%,46%,34%,0
Kay County,36169,Ponca City,Oklahoma,1229,$44371,18%,37,N/A,N/A,N/A,59,63%,$696,52%,499,3061,17%,7%,58%,22%,72%,0%,2%,72%,9%,2%,N/A,93,48,45,33,7,N/A,61,5,36.74491787724018,-97.12948726234343,64%,73%,59%,55%,51%,53,43,62,71,24,11.68,3.29,21%,25%,13%,3
Houghton County,36093,Houghton,Michigan,1174,$37221,37%,30,$322244,1700,$188,61,53%,$616,55%,84,1316,24%,6%,51%,38%,53%,4%,1%,88%,2%,6%,N/A,77,23,53,28,140,N/A,88,3,47.12045926748677,-88.55451048364502,55%,67%,48%,63%,59%,28,35,57,55,11,9.61,4.06,40%,36%,45%,77
Platte County,36056,Columbus,Nebraska,1599,$55160,20%,40,N/A,N/A,N/A,50,70%,$783,41%,N/A,N/A,6%,2%,65%,18%,76%,1%,0%,96%,17%,9%,N/A,86,33,53,29,27,N/A,78,4,41.493822410716646,-97.4490931684408,60%,72%,53%,56%,54%,47,37,60,65,13,12.07,1.97,24%,30%,18%,11
Nacogdoches County,36052,Nacogdoches,Texas,1146,$36239,27%,25,N/A,N/A,N/A,38,43%,$762,64%,N/A,N/A,30%,9%,59%,30%,65%,2%,26%,51%,18%,6%,N/A,93,58,35,47,1,7,47,5,31.624610986211582,-94.64489180419949,58%,69%,50%,58%,56%,55,54,70,73,36,10.1,11.69,28%,25%,32%,0
Sullivan County,35910,Claremont,New Hampshire,231,$62241,29%,42,$225947,1649,$153,53,58%,$1007,51%,39,753,15%,2%,60%,45%,47%,0%,0%,93%,2%,2%,N/A,81,30,51,44,68,6,83,3,43.370493735658584,-72.24318713980507,55%,62%,53%,53%,51%,17,35,57,57,10,12.98,9.44,39%,44%,36%,27
Shawano County,35773,Shawano,Wisconsin,447,$50888,15%,39,$181873,1689,$107,48,68%,$687,44%,96,491,14%,3%,60%,30%,64%,0%,0%,80%,4%,1%,N/A,81,24,56,34,52,8,83,3,44.78723180543705,-88.678215227859,55%,67%,48%,63%,59%,31,35,57,58,7,11.82,4.55,33%,36%,30%,26
Crawford County,35752,Van Buren,Arkansas,1218,$44827,18%,34,$204050,1598,$125,30,60%,$690,44%,550,3246,20%,5%,58%,20%,74%,2%,2%,77%,10%,6%,Central Standard Time,93,51,42,52,4,7,45,5,35.46879954585477,-94.30225223417712,61%,72%,53%,56%,55%,54,48,67,71,28,13.22,9.98,27%,26%,24%,1
Starr County,35751,Rio Grande City,Texas,3179,$34169,10%,30,$355846,3725,$96,29,76%,$664,51%,351,175,30%,12%,60%,79%,18%,0%,0%,1%,97%,26%,N/A,99,70,28,26,0,N/A,81,6,26.373732343139185,-98.80379061424473,59%,77%,42%,60%,56%,26,64,73,75,45,8.48,3.21,12%,11%,14%,0
Scott County,35715,Georgetown,Kentucky,2000,$66226,29%,33,$274088,1720,$159,22,66%,$932,45%,111,2747,12%,2%,69%,31%,62%,1%,6%,83%,5%,3%,Eastern Standard Time,86,42,44,53,16,7,63,4,38.20754456558869,-84.58420342720426,55%,65%,46%,56%,55%,45,45,65,66,25,13.71,12.43,37%,37%,41%,11
Geary County,35706,Junction City,Kansas,1406,$49570,21%,28,$198000,2129,$93,30,38%,$870,35%,1010,2433,14%,4%,73%,36%,57%,3%,19%,52%,17%,8%,N/A,90,41,48,34,19,8,62,4,39.03226702392314,-96.84739729386378,67%,77%,60%,57%,54%,56,41,62,68,18,14.05,3.15,23%,29%,14%,7
Lewis County,35477,Centralia,Washington,1672,$46214,15%,37,$390827,1557,$255,51,55%,$920,55%,301,3885,18%,7%,54%,27%,62%,0%,0%,78%,15%,6%,N/A,79,43,35,42,6,5,64,2,46.66937925638018,-122.92263125266228,46%,61%,27%,64%,50%,5,43,50,53,33,2.61,16.09,46%,18%,65%,2
Warren County,35401,Indianola,Iowa,1137,$72393,32%,36,$275343,1269,$212,38,79%,$864,47%,390,1381,7%,3%,70%,38%,54%,0%,0%,94%,2%,1%,Central Standard Time,85,31,54,40,38,N/A,75,3,41.419621533148785,-93.59769831684699,58%,71%,49%,60%,58%,48,39,61,65,12,15.25,4.28,31%,33%,26%,25
Posey County,35255,Black,Indiana,692,$57557,19%,42,$171000,1879,$91,46,72%,$673,41%,N/A,N/A,12%,3%,59%,28%,67%,0%,3%,92%,2%,1%,Central Standard Time,88,42,45,51,9,6,69,4,38.01111853034747,-87.84705844401643,58%,72%,46%,58%,56%,42,45,65,67,23,12.83,11.11,30%,28%,32%,4
Windsor County,35223,Springfield,Vermont,598,$54538,36%,44,$381561,1798,$198,52,60%,$977,51%,132,997,12%,3%,62%,58%,28%,2%,0%,93%,1%,5%,N/A,82,30,51,44,73,6,80,3,43.559067869494356,-72.49227336981801,53%,61%,51%,53%,51%,18,35,57,58,10,13.38,9.48,39%,44%,37%,29
Robertson County,34959,Springfield,Tennessee,926,$59577,19%,36,$336401,1700,$200,34,66%,$916,48%,437,1528,15%,4%,64%,24%,71%,0%,12%,72%,11%,6%,Central Standard Time,88,44,43,55,3,6,61,4,36.47218837941589,-86.84967754892017,63%,76%,53%,58%,56%,42,45,65,68,26,13.24,13.56,36%,31%,40%,3
Nez Perce County,34943,Lewiston,Idaho,1869,$54837,24%,39,$335000,1482,$226,50,76%,$726,46%,127,2900,13%,3%,61%,28%,62%,0%,0%,87%,4%,2%,Pacific Standard Time,91,39,51,13,14,5,67,3,46.393750128640924,-116.97868650115903,52%,73%,28%,48%,28%,10,37,46,60,28,2.03,3.69,28%,16%,36%,10
Silver Bow County,34895,Butte-Silver Bow,Montana,52,$49351,27%,40,N/A,N/A,N/A,65,73%,$678,52%,N/A,N/A,16%,5%,60%,52%,38%,0%,0%,90%,4%,1%,N/A,83,30,53,12,37,6,86,3,45.90442428091131,-112.65494979830636,57%,71%,42%,46%,32%,28,27,42,47,7,4.5,1.1,28%,30%,22%,23
Sumner County,34861,Wellington,Kansas,824,$50143,21%,41,N/A,N/A,N/A,58,67%,$698,48%,376,2831,15%,4%,58%,21%,71%,0%,1%,87%,5%,1%,Central Standard Time,91,45,46,37,9,8,69,4,37.28662932811451,-97.42009600241532,64%,73%,59%,55%,51%,53,43,62,69,21,13.52,3.5,21%,25%,14%,3
Stephens County,34661,Duncan,Oklahoma,860,$50931,19%,40,$162000,1558,$104,48,69%,$705,47%,180,2959,16%,6%,55%,17%,79%,0%,6%,78%,8%,2%,N/A,94,52,41,37,5,N/A,63,4,34.532086891944836,-97.96333461393785,66%,76%,60%,50%,46%,48,47,64,71,30,9.93,4.98,21%,21%,19%,2
Summit County,34610,Park City,Utah,460,$111692,55%,39,$1273206,2410,$570,28,75%,$1490,41%,N/A,N/A,5%,2%,71%,50%,35%,1%,0%,83%,12%,10%,N/A,85,34,50,27,70,8,90,4,40.71808008077145,-111.47663018594338,66%,83%,47%,43%,23%,39,33,44,54,14,3.33,9.1,28%,14%,39%,38
Nassau County,34420,Yulee,Florida,723,$68021,27%,44,$488664,1955,$247,27,76%,$1171,47%,196,1195,12%,3%,59%,23%,72%,0%,9%,81%,5%,4%,Eastern Standard Time,91,65,26,50,0,6,64,5,30.631439392292272,-81.58885493367228,64%,65%,59%,56%,59%,68,59,71,73,45,20.53,9.39,29%,42%,25%,0
Uvalde County,34416,Uvalde,Texas,2294,$41361,16%,34,$220000,1803,$122,42,66%,$780,52%,N/A,N/A,21%,2%,61%,43%,53%,1%,0%,16%,80%,10%,N/A,98,65,33,21,0,8,73,6,29.223469490086007,-99.7632562717951,57%,69%,51%,53%,51%,34,55,69,72,37,5.25,2.84,13%,12%,14%,0
Colbert County,34363,Muscle Shoals,Alabama,940,$45298,18%,39,$101488,1534,$64,44,68%,$743,53%,N/A,N/A,15%,3%,55%,29%,67%,0%,19%,73%,3%,2%,Central Standard Time,90,51,39,56,2,7,53,5,34.73630252129616,-87.67486219780578,58%,63%,49%,57%,56%,56,49,67,69,30,13.46,16.58,31%,32%,35%,0
Bulloch County,34341,Statesboro,Georgia,2030,$33992,25%,23,$218802,1598,$136,33,25%,$781,75%,N/A,N/A,36%,12%,56%,36%,59%,1%,37%,50%,6%,4%,N/A,93,60,33,45,0,6,53,5,32.43689130636848,-81.77364706102325,59%,59%,55%,54%,57%,60,55,70,71,37,15.25,10.61,28%,38%,27%,0
Scott County,34291,Vienna,Indiana,524,$40684,13%,40,$162595,1505,$103,40,57%,$738,47%,N/A,N/A,19%,4%,52%,28%,66%,0%,0%,92%,2%,0%,Eastern Standard Time,86,40,46,54,19,7,63,4,38.69687703906565,-85.76715190274125,55%,65%,46%,56%,55%,45,45,65,65,24,13.78,12.63,37%,35%,39%,12
Burke County,34208,Morganton,North Carolina,747,$44285,19%,41,$236197,1743,$139,47,65%,$668,52%,427,3133,20%,4%,54%,28%,67%,3%,6%,74%,11%,7%,Eastern Standard Time,88,49,39,52,21,6,60,4,35.73975042973281,-81.62532759777828,60%,62%,57%,53%,57%,42,46,64,66,28,14.23,12.46,33%,39%,32%,10
Tuolumne County,33994,Sonora,California,783,$55615,23%,49,$287626,1687,$176,41,72%,$1081,50%,534,5527,9%,6%,50%,35%,56%,1%,0%,84%,9%,4%,N/A,93,55,37,30,0,7,73,5,37.98851468300288,-120.30889421889746,76%,95%,50%,45%,28%,3,46,51,57,32,0.25,14.86,16%,1%,30%,0
DeKalb County,33961,Fort Payne,Alabama,268,$42118,14%,40,$197831,1486,$131,39,72%,$570,42%,N/A,N/A,22%,5%,55%,14%,82%,0%,2%,77%,16%,7%,N/A,89,52,37,58,4,5,63,5,34.471569822852686,-85.7718124511793,55%,60%,46%,55%,56%,55,48,67,69,30,12.7,17.44,36%,37%,41%,1
Coffee County,33958,Tullahoma,Tennessee,777,$48976,23%,39,$287001,1569,$182,38,61%,$696,48%,670,3513,14%,3%,58%,23%,72%,1%,6%,84%,4%,2%,N/A,86,47,38,58,6,5,61,4,35.41777297649744,-86.16048951716238,55%,60%,46%,55%,56%,55,48,67,66,27,14.27,16.63,34%,33%,40%,2
Coffee County,33957,Enterprise,Alabama,792,$58816,25%,37,$209000,1917,$109,37,56%,$815,47%,N/A,N/A,16%,6%,59%,20%,76%,2%,23%,62%,8%,3%,N/A,92,61,31,62,0,5,51,5,31.33701977141679,-85.88255616347146,58%,62%,50%,55%,56%,57,53,69,71,37,17.52,19.19,29%,42%,31%,0
Ward County,33820,Minot,North Dakota,309,$64089,31%,22,N/A,N/A,N/A,26,34%,$1497,39%,242,1554,3%,1%,82%,21%,68%,1%,10%,69%,13%,3%,N/A,83,22,61,17,47,N/A,90,3,48.33865683692785,-101.35578557563274,59%,72%,51%,58%,47%,29,29,50,57,3,7.75,1.48,23%,31%,16%,27
Brookings County,33766,Brookings,South Dakota,1392,$50233,42%,33,N/A,N/A,N/A,39,53%,$620,55%,217,1273,6%,2%,78%,38%,53%,3%,1%,93%,3%,6%,N/A,82,22,59,26,45,N/A,85,3,44.334472010087076,-96.82853235960138,56%,63%,56%,60%,55%,44,34,58,60,4,11.91,2.18,29%,33%,23%,22
Jennings County,33381,Center township (Jennings Cnty),Indiana,1942,$47225,14%,38,$136614,1364,$93,41,65%,$828,49%,N/A,N/A,13%,3%,64%,21%,73%,0%,3%,90%,3%,1%,N/A,86,40,46,49,19,7,65,4,39.015824928983555,-85.65279165970763,53%,64%,44%,57%,55%,43,44,64,65,24,13.65,10.97,36%,33%,40%,12
Walton County,33245,Monroe,Georgia,1068,$56122,19%,33,$360415,2033,$177,30,60%,$1047,56%,527,2591,20%,6%,62%,20%,76%,2%,40%,47%,6%,8%,Eastern Standard Time,90,53,36,51,2,8,54,5,33.78937560176868,-83.79027985005264,60%,63%,53%,55%,57%,49,49,66,69,33,13.43,15.16,31%,35%,36%,0
Albany County,33241,Laramie,Wyoming,1733,$47853,55%,26,N/A,N/A,N/A,42,51%,$829,61%,177,973,23%,4%,68%,40%,44%,3%,1%,80%,10%,7%,N/A,81,32,48,14,64,8,77,5,41.31205797807226,-105.61827537528956,64%,67%,60%,45%,39%,43,31,51,48,7,4.53,1.73,26%,30%,20%,47
Marshall County,33125,Marshalltown,Iowa,1359,$56096,19%,36,$133688,2020,$99,61,72%,$709,47%,388,2496,13%,5%,63%,42%,50%,4%,1%,64%,26%,14%,N/A,84,28,55,38,33,8,74,3,42.02927442106566,-92.92674790849208,58%,71%,49%,61%,58%,42,37,60,62,10,14.58,4.18,27%,32%,23%,15
Ohio County,32951,Wheeling,West Virginia,1803,$43978,29%,42,N/A,N/A,N/A,70,67%,$734,58%,N/A,N/A,16%,6%,55%,30%,61%,0%,4%,90%,1%,2%,Eastern Standard Time,84,38,46,43,12,7,68,3,40.07793257644381,-80.68647132134382,42%,52%,29%,57%,54%,34,39,58,64,21,11.77,10.71,40%,37%,47%,11
Muscatine County,32949,Muscatine,Iowa,1398,$55606,18%,35,$141398,1597,$89,60,71%,$829,50%,197,1343,11%,3%,68%,43%,49%,0%,3%,71%,21%,8%,N/A,85,30,54,42,25,8,75,3,41.451342685274206,-91.09631064844153,53%,63%,46%,59%,57%,46,39,62,64,12,15.14,5.72,32%,36%,27%,12
Adams County,32909,Hastings,Nebraska,1398,$56066,25%,37,N/A,N/A,N/A,56,73%,$725,47%,N/A,N/A,13%,2%,66%,24%,68%,1%,0%,84%,11%,6%,N/A,87,36,51,28,26,N/A,75,3,40.587651268221464,-98.42666639788811,68%,79%,61%,56%,54%,47,37,59,66,16,11.44,2.49,25%,30%,18%,16
